protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,normal
17,139549217.0,7.151598708,0.085991167,0.085991167,0.0,12,0,998,0,92,77,83.16666667,5.27309734,0,0,0.0,0.0,92,77,83.16666667,5.27309734,27.80555556,96,0,8,12,12686292.45,50211797.0,9.0,18807787.21,139549217.0,50211797.0,9.0,12686292.45,18807787.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,83.16666667,0,0,47409776.0,1973033.0,24691404.5,22718371.5,46746836.0,276015.0,19841536.2,16734371.03,161.0,4.0,0.0,0.0,2064102.564,0.0,83.16666667,0.0,0,12,0,998,0,normal
6,18548.0,27334.4835,431.3133491,215.6566746,215.6566746,4,4,291,216,93,60,72.75,13.80896448,54,54,54.0,0.0,93,54,63.375,13.53640924,183.234375,80,80,20,4,2649.714286,17016.0,5.0,5871.800033,18548.0,17414.0,92.0,6182.666667,7951.216315,18148.0,17016.0,121.0,6049.333333,7763.111847,2,1,0,0,2,0,0,3,8,0,0,1.0,63.375,62780,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.75,54.0,0,4,4,291,216,normal
6,117262954.0,89.61056874,0.272890959,0.13644548,0.13644548,16,16,2316,8192,714,60,144.75,166.2229301,1514,54,512.0,625.9516755,1514,54,328.375,493.3973266,243440.9219,320,320,20,15,3782675.935,58179431.0,4.0,14277427.4,117262954.0,58179431.0,32.0,7817530.267,19741756.68,59005662.0,58119138.0,4.0,3933710.8,14481888.27,7,7,0,0,0,2,0,14,31,0,0,1.0,328.375,64240,64240,58036687.0,2682.0,14599893.75,25078561.61,58097657.0,12380.0,16653377.43,26193159.91,0.0,0.0,0.0,0.0,0.0,0.0,144.75,512.0,0,16,16,2316,8192,normal
6,33.0,3878787.879,60606.06061,30303.0303,30303.0303,1,1,74,54,74,74,74.0,0.0,54,54,54.0,0.0,74,54,64.0,10.0,100.0,20,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,1.0,64.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,54.0,0,1,1,74,54,normal
6,40.0,3200000.0,50000.0,25000.0,25000.0,1,1,74,54,74,74,74.0,0.0,54,54,54.0,0.0,74,54,64.0,10.0,100.0,20,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,1.0,64.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,54.0,0,1,1,74,54,normal
6,20429.0,24817.66117,391.6001762,195.8000881,195.8000881,4,4,291,216,93,60,72.75,13.80896448,54,54,54.0,0.0,93,54,63.375,13.53640924,183.234375,80,80,20,4,2918.428571,17835.0,10.0,6111.047206,20429.0,18603.0,99.0,6809.666667,8365.589413,19662.0,17835.0,154.0,6554.0,8000.939986,2,1,0,0,2,0,0,3,8,0,0,1.0,63.375,62780,64239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.75,54.0,0,4,4,291,216,normal
17,24408062.0,780.2340063,2.048503482,0.942311602,1.10619188,23,27,9771,9273,1399,73,424.826087,574.0460254,1399,67,343.4444444,472.10273,1399,67,380.88,523.0527178,273584.1456,184,216,8,23,498123.7143,7404020.0,0.0,1617030.691,24366792.0,7445795.0,0.0,1107581.455,2286089.607,24387550.0,7422879.0,13.0,937982.6923,2133048.25,0,0,0,0,0,0,0,0,0,0,0,1.173913043,380.88,0,0,7385161.0,2665.0,1985646.667,2769845.43,7362245.0,5514.0,1492150.75,2536820.88,0.0,0.0,0.0,0.0,0.0,0.0,424.826087,343.4444444,0,23,27,9771,9273,normal
6,756370.0,7685.39207,29.08629375,14.54314687,14.54314687,11,11,1594,4219,723,60,144.9090909,189.954279,1514,54,383.5454545,534.1200688,1514,54,264.2272727,418.2347027,174920.2665,220,220,20,10,36017.61905,419683.0,5.0,91885.65023,755978.0,419683.0,43.0,75597.8,122117.5559,743816.0,420025.0,5.0,74381.6,125453.3715,4,4,0,0,2,2,0,8,21,0,0,1.0,264.2272727,64240,64239,401016.0,10613.0,174753.3333,165323.9523,402648.0,12554.0,102367.3333,138539.1186,0.0,0.0,0.0,0.0,0.0,0.0,144.9090909,383.5454545,0,11,11,1594,4219,normal
17,37180.0,4679.935449,53.79236148,26.89618074,26.89618074,1,1,87,87,87,87,87.0,0.0,87,87,87.0,0.0,87,87,87.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,87.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,0,1,1,87,87,normal
6,2599466.0,260.8227998,3.846943949,2.30816637,1.53877758,6,4,387,291,93,54,64.5,15.4677083,93,60,72.75,13.80896448,93,54,67.8,15.36749817,236.16,120,80,20,2,288829.5556,2582071.0,16.0,810799.5049,2599466.0,2582273.0,92.0,519893.2,1031209.356,2582535.0,2582377.0,35.0,860845.0,1217306.952,2,2,0,0,2,0,0,4,10,0,0,0.666666667,67.8,64240,62780,0.0,0.0,0.0,0.0,2565508.0,16563.0,1291035.5,1274472.5,0.0,0.0,0.0,0.0,0.0,0.0,64.5,72.75,0,6,4,387,291,normal
6,1812897.0,10353.594274798845,29.78657916031633,13.790082944590896,15.996496215725438,25,29,3077,15693,727,60,123.08,145.00618469568806,1514,54,541.1379310344828,636.675564222845,1514,54,347.5925925925926,520.4604271617839,270879.05624142656,500,580,20,24,34205.6037735849,1069883.0,4.0,154625.21556933032,1812897.0,1069883.0,27.0,75537.375,223010.8744437164,1799955.0,1113155.0,4.0,64284.107142857145,215976.4357596745,11,12,0,0,2,2,0,23,53,0,0,1.16,347.5925925925926,64240,64239,1050185.0,43740.0,396379.5,400310.6802263087,1026763.0,9670.0,178478.66666666666,321027.41616635246,0.0,0.0,0.0,0.0,0.0,0.0,123.08,541.1379310344828,0,25,29,3077,15693,normal
6,20.0,6400000.0,100000.0,50000.0,50000.0,1,1,74,54,74,74,74.0,0.0,54,54,54.0,0.0,74,54,64.0,10.0,100.0,20,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,1.0,64.0,64240,32767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,54.0,0,1,1,74,54,normal
6,2625927.0,324.456849,4.950632672,2.665725285,2.284907387,7,6,441,411,93,54,63.0,14.78416141,93,60,68.5,12.77693234,93,54,65.53846154,14.16178707,200.556213,140,120,20,2,218827.25,2600217.0,39.0,718042.7407,2625706.0,2600523.0,130.0,437617.6667,967314.6051,2602846.0,2600507.0,39.0,520569.2,1039969.032,3,2,0,0,2,0,0,5,13,0,0,0.857142857,65.53846154,64240,62780,0.0,0.0,0.0,0.0,2577442.0,22775.0,1300108.5,1277333.5,0.0,0.0,75.0,4.0,0.0,95785.44061,63.0,68.5,0,7,6,441,411,normal
