protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,normal
6,92703752.0,10410.7221,53.92446252,24.69155725,29.23290527,2289,2710,317825,647288,269,60,138.8488423,62.19862665,1514,54,238.8516605,344.1382608,1514,54,193.0612122,261.6416624,68456.35953,45780,54200,20,2289,18548.16967,27812935.0,0.0,440122.6357,92703752.0,27812935.0,0.0,40517.37413,649833.217,64890388.0,12310794.0,3.0,23953.6316,269298.8299,1775,875,0,0,0,0,0,2650,4999,0,0,1.183923111,193.0612122,65535,64240,27811109.0,48.0,304955.0292,1855544.241,27812935.0,5035.0,230347.206,1613675.131,676.4037559,6.295774648,3017.5,4.7,543476.5388,2552876.481,138.8488423,238.8516605,0,2289,2710,317825,647288,normal
6,98844294.0,43.89732401,0.354092266,0.16187075,0.192221516,16,19,2431,1908,571,60,151.9375,130.874209,421,54,100.4210526,87.64720897,571,54,123.9714286,112.5114561,12658.82776,320,380,20,15,2907185.118,58487047.0,5.0,11817976.51,98844294.0,58487109.0,78.0,6589619.6,17097022.85,98785687.0,58487305.0,59.0,5488093.722,15800585.29,11,7,0,0,0,2,0,18,34,0,0,1.1875,123.9714286,64240,64240,58466820.0,6059.0,32882564.67,24417177.43,58472124.0,11826.0,19738349.6,24837713.75,501.0,4.0,0.0,0.0,430782.4592,0.0,151.9375,100.4210526,0,16,19,2431,1908,normal
17,59796294.0,262.5246307,2.006813332,1.003406666,1.003406666,60,60,6209,9489,215,101,103.4833333,15.19373957,384,148,158.15,30.11745064,384,101,130.8166667,36.27762932,1316.066389,480,480,8,60,502489.8655,1013980.0,575.0,491149.8608,59774097.0,1048874.0,20776.0,1013120.288,130403.7458,59497289.0,1047653.0,16949.0,1008428.627,135864.1903,0,0,0,0,0,0,0,0,0,0,0,1.0,130.8166667,0,0,997807.0,695201.0,983923.6491,38819.46191,997569.0,299005.0,967698.2712,115185.5482,0.0,0.0,0.0,0.0,0.0,0.0,103.4833333,158.15,0,60,60,6209,9489,dnscat
17,24800.0,8225.806452,80.64516129,40.32258065,40.32258065,1,1,86,118,86,86,86.0,0.0,118,118,118.0,0.0,118,86,102.0,16.0,256.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,102.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,118.0,0,1,1,86,118,normal
17,24492.0,9309.162175,81.65931733,40.82965866,40.82965866,1,1,86,142,86,86,86.0,0.0,142,142,142.0,0.0,142,86,114.0,28.0,784.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,114.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,142.0,0,1,1,86,142,normal
6,117369037.0,53.21676108,0.221523501,0.102241616,0.119281885,12,14,1714,4532,727,60,142.8333333,181.6158186,1514,54,323.7142857,508.2759977,1514,54,240.2307692,403.0672122,162463.1775,240,280,20,11,4694761.48,58710079.0,4.0,15897007.05,117369037.0,58710079.0,425.0,10669912.45,22596409.09,117354280.0,58710613.0,4.0,9027252.308,21149096.19,6,5,0,0,0,2,0,11,25,0,0,1.166666667,240.2307692,64240,64240,58480559.0,12348.0,14629965.5,25317151.97,58692662.0,7758.0,16747134.43,26453400.09,0.0,0.0,0.0,0.0,0.0,0.0,142.8333333,323.7142857,0,12,14,1714,4532,normal
17,100492205.0,2.985306174,0.039804082,0.039804082,0.0,4,0,300,0,75,75,75.0,0.0,0,0,0.0,0.0,75,75,75.0,0.0,0.0,32,0,8,4,33497401.67,48618048.0,3293670.0,21357268.98,100492205.0,48618048.0,3293670.0,33497401.67,21357268.98,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,0,0,0.0,0.0,0.0,0.0,45286817.0,37561.0,16206016.0,20606152.83,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0,4,0,300,0,normal
17,23909.0,21498.1806,83.65050818,41.82525409,41.82525409,1,1,89,425,89,89,89.0,0.0,425,425,425.0,0.0,425,89,257.0,168.0,28224.0,8,8,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,257.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,425.0,0,1,1,89,425,normal
6,99116970.0,275.4220594,1.230868942,0.564989023,0.665879919,56,66,19706,7593,1514,58,351.8928571,461.4522371,742,54,115.0454545,133.0680427,1514,54,223.7622951,348.2115913,121251.3123,1120,1320,20,55,819148.5124,58117077.0,0.0,5538835.136,99116970.0,58117195.0,0.0,1802126.727,8106935.505,99053608.0,58117366.0,29.0,1523901.662,7485793.592,40,23,0,0,0,2,0,63,121,0,0,1.178571429,223.7622951,64240,64240,58097581.0,15888.0,7486625.846,15335561.72,58047635.0,16368.0,6491353.8,14489577.12,1693.666667,4.0,0.0,0.0,3570625.439,0.0,351.8928571,115.0454545,0,56,66,19706,7593,normal
6,97375988.0,1191.238234,2.16685863,0.80101883,1.3658398,78,133,11190,104808,731,60,143.4615385,130.0054922,1514,54,788.0300752,659.5236825,1514,54,549.7535545,614.1938699,377234.1099,1560,2660,20,77,463695.181,58293366.0,1.0,4137266.725,97375988.0,58293509.0,112.0,1264623.221,6757971.446,97322053.0,58293999.0,2.0,737288.2803,5199549.796,41,53,0,0,0,2,0,94,210,0,0,1.705128205,549.7535545,64240,64240,58275169.0,222.0,4837138.25,12587363.6,58282258.0,7389.0,4032613.833,11631225.7,818.0,4.0,7168.8,5.6,715660.5424,25189037.25,143.4615385,788.0300752,0,78,133,11190,104808,normal
